Algoritmo|Iteracion|Piezas totales|Puntaje|Tiempo promedio|Lineas eliminadas|Altura max|Huecos|Singles|Doubles|Triples|Tetrises|Nivel|Alturas parciales
Hill Climbing|11|400|137900|0.002401214838027954|158|3|0|98|24|4|0|16|[2, 3, 8, 8, 7, 5, 2, 5, 2, 6, 2, 3, 5, 6, 3, 5, 7, 6, 2]
Simulated Annealing|11|400|135900|0.002838648557662964|157|5|0|103|21|4|0|16|[4, 5, 7, 4, 7, 7, 5, 6, 6, 4, 2, 5, 5, 7, 4, 4, 2, 8, 4]
Genetico|11|400|15400|0.002215016484260559|45|22|14|19|5|4|1|5|[8, 7, 5, 10, 11, 16, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Genetico nuevo|11|400|31200|0.0012909543514251708|70|22|15|27|15|3|1|8|[10, 8, 10, 10, 13, 12, 11, 17, 14, 16, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Hill Climbing|12|400|140600|0.0024864280223846433|156|5|0|101|21|3|1|16|[2, 4, 3, 10, 4, 2, 2, 3, 4, 8, 6, 5, 7, 3, 6, 3, 3, 4, 5]
Simulated Annealing|12|400|157600|0.002754533290863037|158|3|0|84|12|10|5|16|[7, 8, 4, 4, 5, 5, 6, 6, 4, 5, 9, 8, 8, 4, 3, 2, 5, 4, 5]
Genetico|12|400|68200|0.0035275185108184816|108|22|13|68|14|4|0|11|[2, 3, 6, 15, 9, 11, 13, 11, 13, 14, 12, 7, 10, 15, 22, 22, 22, 22, 22]
Genetico nuevo|12|400|48400|0.001503080129623413|90|22|18|51|15|3|0|10|[3, 5, 5, 10, 11, 9, 15, 17, 19, 17, 18, 19, 22, 22, 22, 22, 22, 22, 22]
Hill Climbing|13|400|122500|0.0022166234254837034|146|19|11|98|16|4|1|15|[3, 3, 9, 7, 6, 9, 8, 7, 10, 17, 13, 13, 14, 15, 13, 12, 12, 14, 19]
Simulated Annealing|13|400|140600|0.0026635289192199706|154|9|1|94|18|4|3|16|[7, 2, 7, 6, 8, 9, 10, 9, 9, 12, 11, 13, 8, 2, 4, 3, 4, 2, 8]
Genetico|13|400|23500|0.0025135213136672973|59|22|17|22|11|5|0|6|[5, 11, 6, 7, 8, 7, 9, 13, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Genetico nuevo|13|400|2300|0.000598372220993042|15|22|21|6|3|1|0|2|[6, 10, 15, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Hill Climbing|14|400|132900|0.0023696392774581907|154|8|5|101|20|3|1|16|[6, 7, 9, 8, 10, 5, 11, 6, 6, 9, 6, 5, 8, 5, 5, 8, 8, 6, 9]
Simulated Annealing|14|400|49800|0.0018361729383468627|80|22|5|34|6|6|4|9|[4, 4, 6, 3, 5, 8, 8, 14, 12, 13, 18, 22, 22, 22, 22, 22, 22, 22, 22]
Genetico|14|400|81900|0.0035276591777801515|111|22|16|46|20|3|4|12|[4, 7, 6, 6, 3, 5, 9, 10, 14, 18, 12, 11, 16, 17, 20, 22, 22, 22, 22]
Genetico nuevo|14|400|3800|0.0006116735935211182|20|22|11|8|3|2|0|3|[7, 4, 11, 19, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Hill Climbing|15|400|132300|0.002398986220359802|154|8|3|110|16|4|0|16|[4, 2, 3, 6, 2, 3, 5, 8, 5, 8, 7, 4, 3, 7, 8, 7, 4, 7, 8]
Simulated Annealing|15|400|138000|0.002737025022506714|151|15|6|89|17|8|1|16|[3, 4, 4, 5, 7, 3, 1, 2, 5, 8, 15, 9, 4, 5, 7, 9, 10, 13, 15]
Genetico|15|400|30200|0.0028316450119018556|69|22|14|29|14|4|0|7|[3, 8, 9, 10, 5, 8, 9, 9, 12, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Genetico nuevo|15|400|6100|0.0007376241683959961|26|22|12|9|4|3|0|3|[8, 5, 5, 11, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
