Algoritmo,Nivel_promedio,Nivel_std,Puntaje_promedio,Puntaje_std
Genetico,12.666666666666666,3.199702367110922,99380.0,41228.963467099544
Hill Climbing,15.133333333333333,2.8250579429371676,128940.0,32083.213234159874
Simulated Annealing,13.066666666666666,4.589843860815601,101093.33333333333,49956.058786936046
