Algoritmo|Iteracion|Piezas totales|Puntaje|Tiempo promedio|Lineas eliminadas|Altura max|Huecos|Singles|Doubles|Triples|Tetrises|Nivel|Alturas parciales
Genetico|9|400|95400|0.004803221821784973|124|22|7|72|15|6|1|13|[6, 3, 4, 6, 5, 4, 3, 4, 3, 6, 4, 7, 8, 7, 10, 15, 22, 22, 22]
Genetico nuevo|9|400|84500|0.002134842872619629|119|22|11|65|19|4|1|12|[7, 6, 8, 5, 15, 9, 8, 6, 6, 7, 12, 13, 11, 11, 13, 20, 22, 22, 22]
Hill Climbing|10|400|141200|0.002968944311141968|157|4|0|101|21|2|2|16|[3, 7, 3, 4, 5, 8, 2, 5, 6, 5, 7, 5, 2, 10, 7, 6, 4, 2, 5]
Simulated Annealing|10|400|20300|0.0014738219976425172|51|22|18|22|4|3|3|6|[3, 1, 3, 6, 6, 11, 13, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Genetico|10|400|60600|0.004129448533058166|102|22|22|49|22|3|0|11|[3, 5, 7, 4, 6, 8, 12, 10, 6, 5, 8, 14, 14, 22, 22, 22, 22, 22, 22]
Genetico nuevo|10|400|25600|0.0011849719285964965|62|22|16|27|10|5|0|7|[5, 5, 6, 7, 12, 18, 17, 17, 17, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Hill Climbing|11|400|133900|0.002881685495376587|154|7|3|99|21|3|1|16|[3, 5, 14, 8, 7, 6, 6, 3, 4, 5, 5, 4, 3, 4, 5, 2, 2, 6, 7]
Simulated Annealing|11|400|38600|0.002405422925949097|78|22|18|39|13|3|1|8|[2, 5, 8, 4, 7, 7, 6, 8, 10, 15, 19, 22, 22, 22, 22, 22, 22, 22, 22]
Genetico|11|400|142600|0.005503354072570801|158|3|0|75|28|9|0|16|[5, 9, 5, 8, 5, 6, 13, 18, 17, 12, 12, 11, 10, 8, 3, 6, 4, 6, 3]
Genetico nuevo|11|400|80400|0.0020366913080215455|115|22|10|46|20|7|2|12|[5, 8, 18, 15, 15, 16, 10, 12, 13, 12, 10, 11, 10, 9, 14, 22, 22, 22, 22]
Hill Climbing|12|400|13700|0.0011093693971633912|44|22|17|27|4|3|0|5|[4, 6, 5, 5, 8, 16, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Simulated Annealing|12|400|136500|0.003313429355621338|153|12|2|98|19|3|2|16|[4, 3, 4, 5, 4, 2, 2, 2, 6, 6, 8, 6, 8, 3, 3, 2, 4, 5, 14]
Genetico|12|400|12500|0.002407674789428711|43|22|9|12|11|3|0|5|[4, 4, 5, 5, 9, 16, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Genetico nuevo|12|400|2700|0.0005905991792678833|18|22|19|8|5|0|0|2|[6, 14, 20, 20, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Hill Climbing|13|400|140400|0.00345508873462677|158|3|0|115|15|3|1|16|[6, 4, 4, 4, 4, 3, 4, 5, 8, 3, 3, 7, 4, 6, 4, 5, 4, 3, 5]
Simulated Annealing|13|400|38400|0.0020184707641601562|72|22|6|41|4|5|2|8|[3, 3, 2, 5, 8, 3, 9, 7, 13, 19, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Genetico|13|400|64600|0.004158586263656616|100|22|9|56|12|4|2|11|[7, 1, 4, 4, 10, 5, 7, 9, 6, 10, 6, 9, 12, 22, 22, 22, 22, 22, 22]
Genetico nuevo|13|400|31300|0.0014935487508773804|73|22|15|37|18|0|0|8|[6, 6, 7, 5, 9, 9, 7, 12, 16, 16, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Hill Climbing|14|400|34600|0.0015721142292022706|75|22|13|54|6|3|0|8|[6, 3, 4, 2, 7, 3, 2, 4, 13, 18, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Simulated Annealing|14|400|19800|0.0017144447565078736|56|22|25|32|9|2|0|6|[6, 4, 3, 3, 4, 7, 14, 19, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Genetico|14|400|137400|0.005562839508056641|151|14|6|77|27|4|2|16|[4, 5, 4, 4, 4, 3, 7, 3, 6, 8, 4, 6, 6, 5, 4, 6, 10, 10, 12]
Genetico nuevo|14|400|3000|0.0006125658750534057|18|22|14|9|3|1|0|2|[6, 8, 13, 19, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Hill Climbing|15|400|134100|0.0026283514499664306|155|7|2|116|15|3|0|16|[3, 2, 3, 2, 4, 2, 5, 3, 5, 4, 6, 5, 7, 4, 5, 7, 2, 6, 7]
Simulated Annealing|15|400|68800|0.002562827467918396|107|22|9|62|10|7|1|11|[2, 9, 4, 4, 4, 2, 3, 4, 4, 3, 4, 5, 13, 16, 22, 22, 22, 22, 22]
Genetico|15|400|133900|0.005348768830299377|151|10|6|70|29|5|2|16|[6, 9, 9, 9, 5, 6, 5, 5, 8, 14, 10, 5, 6, 8, 5, 4, 12, 8, 10]
Genetico nuevo|15|400|37700|0.0016420745849609374|79|22|10|32|19|3|0|8|[7, 11, 5, 6, 11, 14, 12, 11, 12, 12, 18, 22, 22, 22, 22, 22, 22, 22, 22]
