Algoritmo,Puntaje_promedio,Puntaje_std,Tiempo_promedio,Tiempo_std
Genetico,87313.33333333333,53843.80673586819,0.0036176152626672866,0.0009509336573558611
Genetico nuevo,25340.0,36280.23468186815,0.00099280607700342,0.0005016611636995829
Hill Climbing,122640.0,38672.46713471633,0.0022601954142252,0.0004115952909273697
Simulated Annealing,111466.66666666667,50367.17563009049,0.00243564260005946,0.0005833508878261804
